,DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA
8068,PORTA SAB LIQ ACASA D BC/MARM 0187A,LÍQUIDO,PORTA SABONETE
8069,CHIPS BATATA DOCE BELIVE 35G MOST/MEL,CHIPS,SAUDÁVEL
8070,CHOC TOP BEL TRAD C/50 UN,CHOCOLATE OUTROS,BOMBONIERE
8071,SAND INF NEW BABY PETS RS/CORAL 21,SANDÁLIA,CALÇADO ADULTO
8072,LIXA UNHA SHEILA POLIDORA E.V.A. GD C/3,LIXA UNHA,ACESSÓRIOS MÃO E PÉ
8073,CHEIRO VDE VERANITA 10G,CHEIRO VERDE,CONDIMENTO NATURAL
8074,ALMOFADA TRICO DIANA 50X50CM,ALMOFADAS,ALMOFADAS
8075,VASO DEC ACASA A METAL UVA G 792,CERÂMICA,VASOS
8076,MAC CUP ORIG.SAPPORO ICHIBAN 76G,MASSAS,COMIDA ORIENTAL
8077,TIGELA PEQUENA 600ml 16cm OXFORD AB37 6788,TIGELA,UTENSÍLIOS DE PORCELANA/CERÂMICA
8078,"PRATO DURALEX RASO PETALA 25,5CM",PRATO,UTENSÍLIOS DE VIDRO
8079,BALDE DE GELO 8L UZ ACRILICO VERMELHO,BALDE DE GELO,UTENSÍLIOS DE VIDRO
8080,QUEIJADINHA CENOURA kg . .,QUEIJADILHA,DOCE TABLETE
8081,CRE MAO VYVEDAS LITSEA CUBEBA 40G,CREME PARA MÃOS,CREME/ÓLEO MÃO E PÉ
8082,DES AERO GILLETTE X-DRY COOL WAVE 150ML,AEROSOL COM PERFUME,DESODORANTE MASCULINO
8083,FERRO DE PASSAR OSTER REF 5907,FERRO DE PASSAR A VAPOR,FERRO/PASSADOR DE ROUPA
8084,CHA REAL MULTIERVAS CAMOMILA/MACA CX 10G,ERVAS,CHÁ
8085,ALGODAO BELLA COTTON DISCOS C/ 50UN,ROLO,ALGODÃO
8086,VINHO MANOLO 750ML TTO SUAVE,VINHO TINTO,VINHO
8087,XYLITOL PO KG,MISTURAS,FARINÁCEO
8088,AMENDOA CONFEIT.COLORIDA KG,AMÊNDOA,FRUTA SECA
8089,MOLHO TOM COLONIAL 2KG-SACHE PIZZA,SABOR PIZZA,MOLHO DE TOMATE
8090,MISTURA P/PASSAROS ANIMALIS 500G,MISTURAS,FARINÁCEO
8091,GEL FIX TOPP DRY FRASCO AZUL 270G,FIXADOR,FIXADOR DE CABELO
8092,CAFE DAMASCO INTENSO VACUO PCT 500G,VÁCUO TRADICIONAL,CAFÉ
8093,FORNO ELET MIDEA 65L EMB I DESEA TYA62,EMBUTIR,FORNO ELÉTRICO
8094,AMENDOA CARAMELIZADA KG,AMÊNDOA,FRUTA SECA
8095,SAND AD IPANEMA ART PRINT ROSA/ROSA/MARRO,SANDÁLIA,CALÇADO ADULTO
8096,SHAMPOO ALTAMODA OIL THER 300ML,DETOX,SHAMPOO
8097,ESM COLORAMA VERNIZ&COR TUTTI FRUTTI 8ML,ESMALTE,ESMALTE
8098,DOCE FLOR DO LAR 300G GOIABA,GOIABA,DOCE PASTA
8099,SPAGHETTI DOCTOR NUTRI BOLONHESA 300G,ESPAGUETE,MASSA PRONTA
8100,GELATINA SOL 25GR UVA C/15,REGULAR FRAMBOESA,GELATINA
8101,FEIJAO SUPANG CARIOCA 5KG,FEIJÃO CARIOCA,FEIJÃO
8102,LAMPADA FLC 42WX127V HALOGENA .,LÂMPADA,ILUMINAÇÃO
8103,KIT DESO ROLL-ON GIOVA B CANDY 50ML C/2 50%DESC 2UN,ROLL ON COM PERFUME,DESODORANTE UNISSEX
8104,ESCOVA CAB PRADA BLACK ION VENTILADA 771,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
8105,ALFACE SOFT BE GREEN UN,ALFACE,VERDURAS
8106,QUEIJO BOM DESTINO BURRAT BUFALA 200G,BÚFALA,QUEIJO
8107,PIPOQUEIRA REFORCADA OLIVEIRA N 20,PIPOQUEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
8108,"ALIM P CAES BAW WAW 1KG, RACAS PQ",SECO,ALIMENTO PARA CÃES
8109,REFR PO MAIS MARACUJA 25G,MARACUJÁ,REFRESCO EM PÓ
8110,ASP PO VERT MONDIAL T CY 1100E 220V AP35,VERTICAL,ASPIRADOR
8111,QUEIJO VEGANO SUPERBOM PROVOLONE 350G,PROVOLONE,QUEIJO
8112,MANTEIGA CAMBI 200G C/SAL,COM SAL,MANTEIGA
8113,CERV AUSTRIA BIER WEIZEN GF 600ML,ARTESANAIS,CERVEJA
8114,BUCHA VEG NAT DO CARMO CJ-3UN,BUCHA VEGETAL,ACESSÓRIOS DE BANHO
8115,FOSFORO GABOARDI C/10 UNID . 40P,FÓSFORO,MANUTENÇÃO COZINHA
8116,PALMITO ACAI FLORIPA 180G-VD INT,PICADO,PALMITO
8117,SAB INTIMO TOPZ 200ML LV2 PG1.,SABONETE ÍNTIMO,HIGIENE ÍNTIMA FEMININA
8118,WHISKY OLD PARR GRAND 12A 1L,NACIONAL,WHISKY
8119,CANECA EWEL BY ACASA 06 9013.005,CANECA,UTENSÍLIOS DE PORCELANA/CERÂMICA
8120,LIMP SAB FAC NEUTROGENA GRAPEFRUIT 150G,SABONETE,LIMPEZA DO ROSTO
8121,CJ BOWL KREA PLAST 4PCS 471,BOWL,UTENSÍLIOS DE PLÁSTICO
8122,MINI KIT TINTURA BIOCOLOR 4.5,PERMANENTE MARROM,COLORAÇÃO FEMININA
8123,CARNE SECA PAINEIRA TRASEIRO 400G,CARNE SECA,PERTENCES FEIJOADA
8124,GELEIA OLE GOIABA 230G,GELEIA TRADICIONAL,GELÉIA
8125,DESOD OLD SPICE AERO 150ML PEGADOR,AEROSOL COM PERFUME,DESODORANTE MASCULINO
8126,VINHO NACIONAL MARCON 1L BRANCO SECO,VINHO NACIONAL,VINHO
8127,EXTR TOM.ELEFANTE 260G CP,TRADICIONAL,EXTRATO DE TOMATE
8128,TIGELA BRINOX MUIUSO 25.5,TIGELA,UTENSÍLIOS DE INOX/ALUMÍNIO
8129,SALSICHA HOT DOG CRY RICA 1KG,SALSICHA HOT DOG,SALSICHA
8130,MOELA DE FRANGO CONGELADO KG,MOELA,AVE CONGELADA
8131,VINHO CHILENO PACIFICO SUR RESERVA 750ML PINOT NOIR,VINHO CHILENO,VINHO
8132,CANECA DE PORCELANA PARA USO EM COZINHA MOD: Y -DAISO,CANECA,UTENSÍLIOS DE PORCELANA/CERÂMICA
8133,DISCO P/TACOGRAFO VDO 7 DIAS 125KM C/10,TACÓGRAFO,AUTOMOTIVO ACESSÓRIOS
8134,LIMP PERF VEJA SENS AZUL CORAL 2L,PERFUMADO,LIMPADOR MULTIUSO
8135,SEM. FELTRIN ALFACE AMERICANA,SEMENTES,JARDINAGEM PLANTAR
8136,DACOLONIA BALA DE BANANA MARAC 160g,BANANA,BOMBONIERE
8137,NECTAR PURITY MANGA 1L,REGULAR,SUCO PRONTO/NECTAR
8138,CREME CEBOLA AJINOMOTO 1KG,SOPA CREMOSA CEBOLA,SOPA
8139,SH FRUCTIS NUTRICAO VITAMI 200ML,HIDRATAÇÃO,SHAMPOO
8140,IOG GREGO ITAMBE SOBREM 540G-BJ C/6 FR VRM/MARC/LI,GREGO,IOGURTE
8141,LUVA SILIC SANREMO UN,LUVA,UTENSÍLIOS DE SILICONE
8142,CEREAL INF NESTON VIT BAN MACA 210G,CEREAIS,NUTRIÇÃO INFANTIL
8143,FRALDA BABY ROGER PRAT.PLUS MED C/28,INTERMEDIÁRIA M,FRALDA INFANTIL
8144,GEL BARB NIVEA F MEN 193G-SPR SENSITIVE,HIDRATANTE,CREME/GEL/ESPUMA DE BARBEAR
8145,TV LG 43 LED FULL HD SM 43LK5750,4K,TELEVISÃO
8146,LAVA ROUPA LIQ SOFT PLUS TOPAZIO 5L,BÁSICO,LAVA ROUPA LÍQUIDO
8147,PO GELAT MAGRO C/ SUCRALOSE ABACAXI C/ HORTELA 10G,SUCRALOSE,GELATINA
8148,PEPINO BABY FAZ RIO BONITO DOCE 200G,PEPINO,LEGUMES
8149,COLONIA LYOPLANT LUI & LEI 3059 240ML,COLÔNIA,PERFUMAÇÃO
8150,ESP BARBA GREENWOOD 160G MONSIEUR,LIXA PÉS,ACESSÓRIOS MÃO E PÉ
8151,FILE MERLUZA COPACOL CONG PCT 1KG,FILÉ DE MERLUZA,PEIXE CONGELADO
8152,SACOLA PRESENTE CROMUS METAL PR G UN,SACOLA DE PRESENTE,PAPELARIA
8153,PAO NINO HOT DOG PCT 240G,HOT DOG TRADICIONAL,PÃES
8154,VINHO TTO MEANDRO VALE MEAO DOURO 750ML POR,VINHO TINTO,VINHO
8155,FILTRO COMB MANN WK1040,FILTRO DE COMBUSTÍVEL,AUTOMOTIVO FILTROS
8156,PAPEL HIG LEBLON F.S SOFT BL 30M L12P11,FOLHA SIMPLES,PAPEL HIGIÊNICO
8157,SUPRA SOY FIBRAS 300g,MISTURAS,FARINÁCEO
8158,JERIMUM JACARE KG,ABÓBORA ORGÂNICA,LEGUMES
8159,SAND (f) HAVAIANAS T MAX ST 37/38 BC/MAR,SANDÁLIA,CALÇADO ADULTO
8160,FEIJAO VERDE LESSA 500G,FEIJÃO OUTROS,FEIJÃO
8161,"PRATO RASO 26,5x26,5cm OXFORD GA02 2459",PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA
8162,MASSA P/LASANHA MASSALEVE 500GR,MASSA LASANHA,MASSA FRESCA
8163,MASSA ITAL CASA RINALDI UOVO 200G TAGLIETELLE,IMPORTADO,MASSA SECA
8164,CORANTE LIQ KIREY VERMELHO C/1,CORANTE,ARTIGOS PARA FESTAS
8165,SUCO INTEG DO BEM MISTO ABACAXI C/HORTELA TP 200ML,INTEGRAL,SUCO PRONTO/NECTAR
8166,BISC GRANPURE COOKIE CAST/CACAU PCT 120G,COOKIE,BISCOITO
8167,CERVEJA POL DONNER PREMIUM 500ML,PREMIUM,CERVEJA
8168,LEITE PO ENFAGROW PREMIUM 800G,INTEGRAL,LEITE EM PÓ
8169,TORTA CAMAFEU NOZES CARONE KG,TORTA DOCE,TORTA
8170,CESTO DOBRAVEL DE POLIESTER PARA LAVANDERIA MO -DAISO,CESTO DE ROUPA,ORGANIZADOR
8171,MOCHILA POL SWEET GIRL PINK,MOCHILA,MATERIAL ESCOLAR
8172,PALMITO GENTLEMAN EXTRA R,INTEIRO,PALMITO
8173,BICARBONATO SODIO KI-FLOR 100GR .,BICARBONATO,CONDIMENTO NATURAL
8174,MAC MADREMASSA ESPAG.SEM.1KG,ESPAGUETE,MASSA SECA
8175,VINHO CHILENO VERAMONTE CABER SAUV 750ML,VINHO CHILENO,VINHO
8176,AZEITONA VERDE S/CAROC GRANEL KG,VERDE COM CAROÇO,AZEITONA
8177,VINHO ARGENTINO ALTA VISTA CLASSIC MALBEC 750ML,VINHO ARGENTINO,VINHO
8178,SAND (f) HAVAIANAS SL ORG 35/36 ROSA BAL,SANDÁLIA,CALÇADO ADULTO
8179,TOALHA ROSTO BUDDEMEYER R FRAPE 1714,TOALHA DE ROSTO,BANHO
8180,CADERNO UNIV ARGOLA DAC TEEN MOTOS,CADERNO,MATERIAL ESCOLAR
8181,BALA MASTIG SASSE MILKYGURT 900G-PC,BALAS - MASTIGÁVEIS,BOMBONIERE
8182,PAPINHA SALG NESTLE ESPAGUETINHO 170G-VD,PAPINHAS SALGADAS,NUTRIÇÃO INFANTIL
8183,VELA GOLD NUMERICA BIG RS N8,VELA,ARTIGOS PARA FESTAS
8184,TV LG 55 LED ULTRA HD 4K SM 55SJ8000,4K,TELEVISÃO
8185,ENERGETICO BAD WOLF 2L,TRADICIONAL,ENERGÉTICO
8186,OLEO COCO ESSENTIAL MCTLIFT 250ML,ÓLEO DE COCO,SAUDÁVEL
8187,DES AERO REXONA COMPACT ACTIVE 58G,AEROSOL COM PERFUME,DESODORANTE MASCULINO
8188,SAL ROSA DO HIMALAIA ITALPEPE 60G COM MOEDOR,SAL DO HIMALAIA,SAL
8189,ACUCAR CONFEITEIRO DOCUCAR 1KG,CONFEITEIRO,AÇÚCAR
8190,"MOLHO TOM QUERO 3,1KG-LT",TRADICIONAL,MOLHO DE TOMATE
8191,BISC INT BAUDUCCO CEREALE CAST/QUINOA PC 130G,INTEGRAL,BISCOITO
8192,PANELA NIGRO VITALITA 20CM ANTIADERENTE,PANELAS,UTENSÍLIOS DE INOX/ALUMÍNIO
8193,FRIGIDEIRA ANT AD UPOL 18 DP .,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
8194,RABO BOV RABADA CONG PESO,RABO,BOVINO RESFRIADO
8195,DESO SPRAY TRES MARCHAND OCEAN 100ML,SPRAY COM PERFUME,DESODORANTE MASCULINO
8196,CACHACA SALINAS IPE GFA 700ML,TRADICIONAL,AGUARDENTE/CACHAÇA
8197,COLHER ACASA E BAMBU LETRA Z 281Z,COLHER,UTENSÍLIOS DE MADEIRA
8198,BEB MISTA DEL VALLE KAPO MARACUJA 200ML,MARACUJÁ,BEBIDA MISTA
8199,AMAC ROUPA PROEZA EMOCAO AZUL 2L,TRADICIONAL,AMACIANTE
8200,MOLHO DE TOMATE 2kg PREDILECTA STAND UP HOT DOG,REFOGADO,MOLHO DE TOMATE
8201,POLPA FRUTAS MAIS FRUTA MARACUJA 100G,MARACUJÁ,POLPA DE FRUTA
8202,SORVETE SKIMONI SKIZERO 1.5L CHOCOLATE,POTE TRADICIONAL,SORVETE
8203,MAC NONG SHIN NEOGURI HOT 100G,COM OVOS,MASSA SECA
8204,ALIM GATOS BAW WAW NAT PRO ALIM CAR/ARROZ 1KG,SECO,ALIMENTO PARA GATOS
8205,SOBRECOXA 1kg COPACOL CONGELADA,SOBRECOXA,AVE CONGELADA
8206,VINHO ESPANHOL 750ml FAUSTINO V RESERVA TTO SECO,VINHO ESPANHOL,VINHO
8207,KIT TRAT. INTENSO NOVEX C/2 BROTO BAMBU,KIT CREME DE TRATAMENTO,KIT CABELOS ADULTOS
8208,SANDALIA HAVAIANAS BABY CHIC BCO/PTO 19,SANDÁLIA,CALÇADO INFANTIL
8209,TINT PERM NUTRISSE COR INTENSA MASC KIT 11.1 LR MU,PERMANENTE CASTANHO,COLORAÇÃO FEMININA
8210,REFR PO TORNADO LARANJA 20G,LARANJA,REFRESCO EM PÓ
8211,CAFE STA CLARA RES FAMILIA 250G VAC CERRADO MINEIR,ALMOFADA TRADICIONAL,CAFÉ
8212,ENVELOPE CARTA 10un,ENVELOPE,MATERIAL DE ESCRITÓRIO
8213,ESFREGAO FORTA ACO PCT C/2,ESFREGÃO,PANOS/FLANELAS
8214,LUBRIF 10W40 LUBRAX TECNO MOTO 4T SL 1L,ÓLEO LUBRIFICANTE,AUTOMOTIVO ÓLEOS/ADITIVOS/FLUIDOS
8215,BOIA MOR BRACO BICHINHOS 19X19CM,BÓIA,PRAIA/PISCINA
8216,COUVE BROCOLI NINJA BEIJA-FLOR B 240G,BRÓCOLIS,VERDURAS
8217,DEPURAD FISCHER 60 SLIM EMB 127V 10334,ACESSÓRIOS CELULAR,ACESSÓRIOS ELETRO
8218,FRU SECA AMEIXA OLE INTEIRA 180G,AMEIXA,FRUTA SECA
8219,SANDALIA HAVAIANA FLAT GUM 41/42,SANDÁLIA,CALÇADO ADULTO
8220,GARRAFA KREA VIDRO 1L,JARRA/GARRAFA,UTENSÍLIOS DE VIDRO
8221,TALHER INOX LEME GARFO BRAN TRAMONTINA,GARFO,UTENSÍLIOS DE INOX/ALUMÍNIO
8222,JG CAMA TRANCOSO 300F QUEEN BC 516-6,JOGO DE CAMA,CAMA
8223,COLHER DE MESA und MILLENIUN PRETO,COLHER,UTENSÍLIOS DE INOX/ALUMÍNIO
8224,MOLHO MISSO SHIRO HINOMOTO,MOLHOS,COMIDA ORIENTAL
8225,ESC AVANCO OVAL PLAST REF 029,MULTIUSO,ESCOVAS
8226,TRAVESSA VIDRO HERMETICO LYOR RET 1500L 6542,TRAVESSA,UTENSÍLIOS DE VIDRO
8227,PRAT JUNCO DES 15CM BRANCO,FORMINHA,ARTIGOS PARA FESTAS
8228,CAPA CONTRA FILE FRIBOI ORG BEEF kg .,CAPA DE CONTRA FILÉ,BOVINO CONGELADO
8229,GRAO BICO FUGINI EM CONSERVA 180G,GRÃO DE BICO,GRÃOS/CEREAIS
8230,COND DOVE THERAPY BRILHO 400ML,BRILHO,CONDICIONADOR
8231,BONECA BARBIE MATTEL FADA BRILHOS,BONECAS/BONECOS,BRINQUEDOS MENINAS
8232,SALADA NAT SALADAS VERAO CARIOCA 240G,SALADA,SALADA
8233,CONTRA FILE BOV FRIBOI A VACUO PESO,CONTRA FILÉ,BOVINO CONGELADO
8234,TAPIOCA GOSTINHO PARAIBA 500G,TAPIOCA,FARINÁCEO
8235,ESPONJA MULTIUSO SUPER WISH C/3 .,MULTIUSO,ESPONJA SINTÉTICA
8236,MOLHO KUHNE STEAK SAUCE VD 250ML,MOLHOS,COMIDA ORIENTAL
8237,DOCE TERRA FONDANT DE LEITE 160G COCO,RECHEIO E COBERTURA PARA BOLO,COBERTURA
8238,QUEIJO REINO SELITA KG,REINO,QUEIJO
8239,ARROZ FANTASTICO 5KG TP1,TIPO 1,ARROZ
8240,REFRIG COCA COLA LT C/6X220ML,COLA,REFRIGERANTES
8241,JARRA BOHEMIA B BOJ 1.5L,JARRA/GARRAFA,UTENSÍLIOS DE VIDRO
8242,EXTENSAO DANEVA 5M .,EXTENSÃO,ELÉTRICA
8243,POTE VIDRO ACUCAR 340ML,POTES,UTENSÍLIOS DE VIDRO
8244,GEL FIX FIXED MODELADOR LILAS 240G,FIXADOR,FIXADOR DE CABELO
8245,VINHO SINO DA ROMANEIRA 750ML TTO,VINHO TINTO,VINHO
8246,TORRADA BAG AUSTRALIANO SL KG,TORRADA,BISCOITO
8247,PIMENTA JOLOKIA DEVILE BJ 50G,PIMENTA OUTRAS,CONDIMENTO NATURAL
8248,FORMA ARCO IRIS PIZZA N.35 .,FORMA,UTENSÍLIOS DE INOX/ALUMÍNIO
8249,CARRE SUINO BISTECA CONG PED,CARRÉ DE PORCO,SUÍNO CONGELADO
8250,ODORIZANTE PROAUTO BREEZE LIQUIDO 80ML TALCO PROAUTO,APARELHO,AUTOMOTIVO ODORIZADOR
8251,TORTA QUICHE LEVE 220G-BJ FRANGO,TORTA SALGADA,TORTA
8252,OLEO PEROBA KING LAVANDA 200ML,ÓLEO,TRATAMENTO DE MÓVEIS
8253,MASCARA CRINA FORTE 450G,MÁSCARA CAPILAR,CREME PARA TRATAMENTO
8254,PROT DIARIO DISCRET MISS SUPER FINOS S/PERF C/15,EXTERNO PROTETOR DIÁRIO,ABSORVENTE
8255,FORMA/MOLDE LEKUE P/PREPARO QUEIJO,OUTROS ESPECIAIS,QUEIJO
8256,AGUARDENTE CANINHA 51 RESERVA 700ML,TRADICIONAL,AGUARDENTE/CACHAÇA
8257,CHOC VILLARS LEITE C/AVELAS BR 100G,CHOCOLATE BARRA,BOMBONIERE
8258,MOLHO KALASSI SWEET CHILLI 200ML,OUTROS,MOLHO DE PIMENTA
8259,CERA AUTOSHINE LIMPADORA LT 200G,CERA,AUTOMOTIVO CERA/POLIDOR
8260,CANECAO C/ BAQUELITE TEFLON N16,CANECA,UTENSÍLIOS DE INOX/ALUMÍNIO
8261,GELATINA PO BRETZKE MOR 30G,REGULAR FRAMBOESA,GELATINA
8262,BARRA CEREAL PROT &JOY BANANA/CANELA 35G,PROTEICA,BARRA DE CEREAL
8263,SORVETE FRUT BISS 2L SONHO MEU,POTE TRADICIONAL,SORVETE
8264,LUMINARIA DE PLASTICO -DAISO,LUMINARIA,ILUMINAÇÃO
8265,PICANHA BONUTT kg,PICANHA,BOVINO RESFRIADO
8266,"PIZZA CATUPIRY 490G, FRANGO/CATUP",TORTA SALGADA,PIZZA
8267,PETIT SUISSE NESTLE NINHO 320G MO BAN MA,PETIT SUISSE,IOGURTE
8268,BANDEJA TRAMONTINA QUADRATA 61781390,BANDEJAS,UTENSÍLIOS DE INOX/ALUMÍNIO
8269,FACA FIXXAR PAO 33CM COLOR .,FACA,PÃES
8270,SORVETE VENETO GELATO BELGA TAR PT 500ML,POTE TRADICIONAL,SORVETE
8271,ALIM CAES PITTY 7KG,SECO,ALIMENTO PARA CÃES
8272,LASANHA FAM SADIA CALABRESA 600G,CALABRESA,LASANHA
8273,ARROZ NAMORADO AGULHINHA 1KG TP1,TIPO 1,ARROZ
8274,"VINHO NAC GUANJA UNIAO750ML, CAB SV",VINHO NACIONAL,VINHO
8275,BALA GELAT GO JELLY 100G DENTADURAS,BALAS - GELATINA,BOMBONIERE
8276,CERV BACKER PILSEN GF 600ML,ARTESANAIS,CERVEJA
8277,SALSA 100% CAIPIRA PICADO 70G,SALSA,CONDIMENTO NATURAL
8278,CHIPS KIWA MANDIOCA 55G,CHIPS,SAUDÁVEL
8279,ESC DENT BAS REACH ACCESS MEDIA 40,ESCOVA DENTAL BÁSICA,ESCOVA DENTAL ADULTO
8280,BEB LACTEA FRUTIROL COCO GFA 830G,BEBIDA LÁCTEA,IOGURTE
8281,FEIJAO TIO MARCIO 1KG CORDA TIPO-1,FEIJÃO PRETO,FEIJÃO
8282,FAR TRIGO INTEGRAL VILMA 500G,FARINHA DE TRIGO INTEGRAL,FARINÁCEO
8283,CHOC KIDS KINDER OVO MY LITTLE PONEY T2 40G,CHOCOLATE KIDS,BOMBONIERE
8284,COLONIA MONANGE ENERGIA 200ML,COLÔNIA,PERFUMAÇÃO
8285,FILE MIGNON MOIDO BOV TOP QUALITY (P) KG,FILÉ MIGNON,BOVINO RESFRIADO
8286,SAB BAR ANTIBAC PROTEX SUNCARE AM 90G,ANTI-BACTERIANO,SABONETE BARRA
8287,PERFUME LA RIVE 315 PRESTIGE EDT 100ML,PERFUMES,PERFUMAÇÃO
8288,PORTA PAO FORMA 145,FORMA TRADICIONAL,PÃES
8289,QUEIJO PARMESAO (PALITO) CONAPROLE (V)KG,PARMESÃO,QUEIJO
8290,LINGUICA PERNIL APIME kg,PERNIL,LINGUIÇA
8291,PRATO PRONTO SEARA FRANGO ORIENTAL C/BROCOLIS E CENOURA 350G,FRANGO,FRANGO
8292,BATATA RUFFLES CEB&SALSA 96G,BATATA REGULAR,SALGADINHO E APERITIVO
8293,CERVEJA TUPINIQUIM CITRUS BOMB GFA 600ML,PREMIUM,CERVEJA
8294,FEIJAO FRADINHO GRANFINO 500G,FEIJÃO FRADINHO,FEIJÃO
8295,SUCO SAO MIGUEL 1L MACA,REGULAR,SUCO PRONTO/NECTAR
8296,MOSTARDA KENKO 200G AMARELA,TRADICIONAL,MOSTARDA
8297,PATE JUREIA GOUR PALM PRES LIG VD 100G,PRESUNTO,PATÊ
8298,FATIADOR DE ACO INOX PARA CARNE -DAISO,FATIADOR,UTENSÍLIOS DE INOX/ALUMÍNIO
8299,DES AERO MONANGE INVISIVEL 150ML,AEROSOL COM PERFUME,DESODORANTE FEMININO
8300,VINHO ESPANHOL VALTRAVIESO CRIANZA 750ML,VINHO ESPANHOL,VINHO
8301,ALMEIRAO HORTA CASEIRA UN .,ALMEIRÃO,VERDURAS
8302,BARRA CEREAL NUTS NESFIT MIX NUTS 60G,NUTS,BARRA DE CEREAL
8303,JG CAMA ACASA E KING MICRO LISO MESC BG,JOGO DE CAMA,CAMA
8304,CALDO MAGGI EQUILIBRIUM 06CB 57G-CX GALINHA,TABLET GALINHA,CALDO
8305,SORVETE HAAGEN DAZS COP VANILLA CAR BROWNIE 100ML,POTE PREMIUM,SORVETE
8306,ALHO PROCES /CEBOLA ROXINOL S/SAL 200G-PT,ALHO OUTROS,CONDIMENTO NATURAL
8307,VAGEM RASTEIRA 300G-BJ,VAGEM,LEGUMES
8308,NECTAR 1L YUMMY FRESH LARAN/MACA,REGULAR,SUCO PRONTO/NECTAR
8309,SAL HIMALAIA KOOK ROSA FINO PCT 250G,SAL DO HIMALAIA,SAL
8310,CELULAR LG G2 BC LGD805,TELEFONIA MOVEL,TELEFONIA
8311,PIMENTAO BLOCK 150g TREBESCHI VERMELHO,PIMENTÃO,LEGUMES
8312,POTE KREA HERMETICO RETANG PLAST 500ML,POTES,UTENSÍLIOS DE PLÁSTICO
8313,DESINFETANTE 1L SANOL MARINE,DILUÍDO,DESINFETANTE
8314,JG CAMA ACASA B KING PERCAL RD 200F OFFW,JOGO DE CAMA,CAMA
8315,CONDIC CAB OX LISO DURADOURO 200ML,LISO,CONDICIONADOR
8316,VINHO PORTUGUES CRASTO DOURO TTO 750ML,VINHO PORTUGUÊS,VINHO
8317,ESMALTE LATIKA PINA DREAM 9ML,ESMALTE,ESMALTE
8318,KIT UNICÓRNIO CACHOS SHAMPOO 240ML + CONDICIONADOR,KIT SHAMPOO E CONDICIONADOR,KIT CABELOS ADULTOS
8319,ALIM GATO FRISKIES MIX CARNES PCT 3KG,ÚMIDO,ALIMENTO PARA GATOS
8320,ARROZ TIO JOAO VERMELHO COZ FRANCESA500G,TIPO 1,ARROZ
8321,"QUEIJO COALHO BALKIS 400G, TRAD",COALHO,QUEIJO
8322,PAPELEIRA PRIMAFER BASC RED C/TP .,LIXEIRA,LIXEIRA
8323,PROT SOL FAC LOREAL A-RUGA FPS60 BG 50G,FPS 30,PROTETOR SOLAR FACIAL
8324,AMENDOIM DA COLONIA TRITURADO PCT 500G,AMENDOIM,SALGADINHO E APERITIVO
8325,QUEIJO CALCAR PROVOLONE PEDACO CRY KG,OUTROS ESPECIAIS,QUEIJO
8326,OVO BRANCO SAO JOAO JUMBO PVC C/20UN,OVOS BRANCOS,OVOS
8327,ESCORREDOR LOUCA ARTHI BERCO 1066,ESCORREDOR LOUÇAS,UTENSÍLIOS DE INOX/ALUMÍNIO
8328,WHISKY JOHNNIE WALKER DOUBLE BLACK 1L,IMPORTADO,WHISKY
8329,SALSICHA VIENA CERATTI TOMAT TEMP200G(V),ESPECIAIS,SALSICHA
8330,CHA VDE RIO LT 335ML UVA VERDE,VERDE,CHÁ PRONTO
8331,COXA COM SOBRECOXA FILE FGO NAT VDE 1KG IQF S/PELE CONG,COXA COM SOBRECOXA,AVE CONGELADA
8332,CR LEITE SABOR & VIDA 450ML,TRADICIONAL,CREME DE LEITE
8333,HASHI BAMBU NATURAL C/40 PARES,HASHI,UTENSÍLIOS DE MADEIRA
8334,ALFARROBA CAROB HOUSE GOTAS LIGHT 80G-CX,ALFARROBA,BOMBONIERE
8335,SNACK BELIVE S/GL CEB/SALS PCT 35G,SNACK,SAUDÁVEL
8336,MOLHO PIMENTA FRONTERA HABANERO VD 89ML,TRADICIONAL,MOLHO DE PIMENTA
8337,TOALHA PAPEL PICCOLA DONNA C/2 .,PAPEL TOALHA,PAPEL TOALHA
8338,ACAI PALETITAS TRAD.500ML,NATURAL,AÇAÍ
8339,CR BARB NIVEA MEN SENSITIVE 2EM1 65G,PELE NORMAL,CREME/GEL/ESPUMA DE BARBEAR
8340,DESOD STICK 83g LOVE BEAUTY PAMP,AEROSOL COM PERFUME,DESODORANTE UNISSEX
8341,MAQ CAFE ESPRES TRES POP PT 220V,MÁQUINA CAFE,CAFETEIRA/CHALEIRA ELETRICA
8342,BISC ARROZ ITAL SCOTTI 130G VEGAN PIU,ARROZ,BISCOITO
8343,VELA BELEM MAX LU N2,VELA,ILUMINAÇÃO
8344,CELULAR SAMSUNG GALAXY J5 PRO DR J530,TELEFONIA MOVEL,TELEFONIA
8345,KIT BOLA NATAL NSW C/3 BC 8CM SDA114080,ENFEITES DE ÁRVORE DE NATAL,ENFEITES DE NATAL
8346,T.NUTRISSE MINI KIT COR INTENSA 642 LO.ES.AC.IR,PERMANENTE LOURO,COLORAÇÃO FEMININA
