DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA,DEPARTAMENTO
OLEO LUBRIF CASTROL ACTEVO GP 4T,ÓLEO LUBRIFICANTE,AUTOMOTIVO ÓLEOS/ADITIVOS/FLUIDOS,AUTOMOTIVO
"CARRO DIV PLAST, BOMBEIRO EM ACAO",VEÍCULOS,BRINQUEDOS MENINOS,BRINQUEDO
LIMP PERF CASAFLOR DREAMS 1L,PERFUMADO,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
SAND HAVAIANA HIGH LIGHT II AZUL 36,SANDÁLIA,CALÇADO ADULTO,CALÇADO
PIZZA ASSADA MISTA SLUIZ KG,MIX,PIZZA,PRATOS PRONTOS
AGENDA STANDARD SPIDERMAN 3,AGENDA,MATERIAL DE ESCRITÓRIO,PAPELARIA
CERVEJA KLEIN PILSEN GFA 600ML,PILSEN,CERVEJA,BEBIDAS ALCOÓLICAS
CEREAL MAT ACUC SUCRILHOS ORIG SACHE 25G,AÇUCARADO,CEREAL MATINAL,MERCEARIA DOCE
FORMA GELO IMP SILIC CZ 10X10 GT2103,FORMA DE GELO,UTENSÍLIOS DE SILICONE,UTILIDADES DE COZINHA
SH ELSEVE HYD MAX FLEXIUM 400ML,HIDRATAÇÃO,SHAMPOO,CUIDADOS COM O CABELO
FRALDA HUGGIES T.MONICA SUPREME CARE TDM MENINO EG C/26 UN,ALTA PERFORMANCE EG,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
SH SEDA SOS KERAFORCE 350ML,FORÇA,SHAMPOO,CUIDADOS COM O CABELO
GFA TERM INVICTA ROLHA 0.5L LIDER PTA,GARRAFA TÉRMICA,UTENSÍLIOS PARA CAFÉ,UTILIDADES DE COZINHA
LAPIS DE COR 24 CORES MULTICOLOR,LÁPIS DE COR,MATERIAL ESCOLAR,PAPELARIA
AMENDOIM CROC.PICANTE KG,AMENDOIM,SALGADINHO E APERITIVO,MERCEARIA DOCE
"BANANINHA GUIMARAES CR 200G, GOIABA",BANANA,DOCE MASSA,MERCEARIA DOCE
MAQUINA DELTAQ QOOL COLOR 127V,CAFETEIRA ELETRICA,CAFETEIRA/CHALEIRA ELETRICA,ELETRO
BALAO ROMANA LISO 065 C/50 VERDE CLARO,BALÃO,ARTIGOS PARA FESTAS,DESCARTÁVEIS
DOCE TERRA FONDANT DE LEITE 160G .,RECHEIO E COBERTURA PARA BOLO,COBERTURA,MERCEARIA DOCE
CERV COLORADO CAUIM GF 600ML,PREMIUM,CERVEJA,BEBIDAS ALCOÓLICAS
CADEIRA PRAIA ACASA ALTA AC LR/AZ CS0333,CADEIRA,CAMPING/PESCA,LAZER/CAMPING
PASCOA OVO LACTA TRAKINAS BRINQ 220G,OVO DE PÁSCOA,OVO DE PÁSCOA,MERCEARIA DOCE
SAND (f) HAVAIANAS FNT PRAI 39/40 ROS BA,SANDÁLIA,CALÇADO ADULTO,CALÇADO
CONJ SPLIT LG ART 9000 I QF 220 ASU/ASN,SPLIT/MULTISPLIT,VENTILAÇÃO,ELETRO
CARVAO BOM JESUS 5KG,CARVÃO,CHURRASCO,LAZER/CAMPING
SAB BAR ALBANY SUAVE MENTOL MASC 90G,MASCULINO,SABONETE BARRA,HIGIENE PESSOAL
PIMENTA MALAGUETA PIRATA 400G,PIMENTA MALAGUETA,CONDIMENTO NATURAL,MERCEARIA SALGADA
"POTE NADIR COLOREX OPA 1,1LT",POTES,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
SUCO INTEG ALIANCA UVA BCO GF 1L,INTEGRAL,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
"SUCO GREENPEOPLE BASIC 1L, LARANJA",REGULAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
CANECA ROMA N 342713AZP,CANECA,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
COND AZEITE OLIVA PONS C/TAB SPRAY 200ML,EXTRA VIRGEM,AZEITE,MERCEARIA SALGADA
PENTE P/CABELO MARILU DESEMBARACADOR,PENTES PARA CABELO,ACESSÓRIOS PARA CABELO,CUIDADOS COM O CABELO
CADERNO UNIV FICHARIO ECOBOL COLOR 96FLS,CADERNO,MATERIAL ESCOLAR,PAPELARIA
SAB INTIMO NIVEA FRESH 250ML,SABONETE ÍNTIMO,HIGIENE ÍNTIMA FEMININA,CUIDADOS COM O CORPO
CHA MAGRO 8G VDE CRANBERRY,FRUTAS,CHÁ,MERCEARIA DOCE
TORRADA PALITO SALGADA kg .,TORRADA,BISCOITO,MERCEARIA DOCE
IOG ZERO LAC NO 170G BAUN,ZERO LACTOSE,IOGURTE,IOGURTES
"HAMBURGUINHO FRISA 1,5KG FEST",BOVINO,HAMBÚRGUER,CONGELADOS SALGADOS
ERVA DOCE KITANO 40G,ERVA DOCE,CONDIMENTO NATURAL,MERCEARIA SALGADA
CHUPETA NUK CLAS DEC GIRL S2 7353452R,CHUPETA,PUERICULTURA,INFANTIL
PROTEINA 100% PUR WHEY PROBIO BAU 32G NV,PROTEÍNA,SUPLEMENTO ALIMENTAR,MERCEARIA DOCE
LASANHA MEZZANI 600GR FRANGO,FRANGO,LASANHA,PRATOS PRONTOS
JG CAMA ACASA CASAL N MF LIST ME AZ 1901,JOGO DE CAMA,CAMA,"CAMA, MESA E BANHO"
SACO P/LIXO PRA-LIXO BOMBRIL 100LT ROLO,SACO DE LIXO,SACOS,DESCARTÁVEIS
REFRIG WIMI LARANJA PET 290ML,LARANJA,REFRIGERANTES,BEBIDAS NÃO ALCOÓLICAS
GRELHA USEUTIL INOX,GRELHA,CHURRASCO,LAZER/CAMPING
ARROZ OURO BRANCO TIPO 1 1KG,TIPO 1,ARROZ,MERCEARIA SALGADA
RESIST LORENZETTI 055 127V 4500W-4600W,RESISTÊNCIA,HIDRÁULICA,MANUTENÇÃO
CJ TRAMONTINA CHURRASCO 3P UTEN26499036,CONJUNTO PARA CHURRASCO,CHURRASCO,LAZER/CAMPING
ALFACE CRESPA VIVARIS ORGANICA 120G,ALFACE ORGÂNICO,VERDURAS,HORTIFRUTI
SACO LIXO PEGA LIXO 15L,SACO DE LIXO,SACOS,DESCARTÁVEIS
MOLHO TOM.PREDILECT.340G POUCH BOLONHESA,SABOR BOLONHESA,MOLHO DE TOMATE,MERCEARIA SALGADA
SHAMPOO CARROS MACQUEEN FR 300ML,USO DIÁRIO,SHAMPOO INFANTIL,HIGIENE PESSOAL INFANTIL
PRATO OXFORD SOBR CER 18CM MAIA,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
SH FRUCTIS ONDAS PERFEITAS 300ML,CABELOS CACHEADOS,SHAMPOO,CUIDADOS COM O CABELO
FRALDA LOONEY TUNES MEGA MED (5 A 10 KG) C/50,BÁSICA M,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
COLHER FEST LAR SOBREMESA BRANCA,TALHERES,ARTIGOS PARA FESTAS,DESCARTÁVEIS
PISCINA CAPRI 2000 LITROS,PISCINAS,PRAIA/PISCINA,LAZER/CAMPING
CR PENTEAR DOVE THERAPY LISOS 200ML,LISO,CREME DE PENTEAR,CUIDADOS COM O CABELO
HUMUS DE MINHOCA 2K FLAMBOYANT,ADUBO,JARDINAGEM PLANTAR,JARDINAGEM
MOCHILA EXECUTIVA SLO4004,MOCHILA,MATERIAL ESCOLAR,PAPELARIA
DES AERO TABU ROMANCE 90G,AEROSOL COM PERFUME,DESODORANTE FEMININO,CUIDADOS COM O CORPO
PENTE RICCA MADEIRA 401,PENTES PARA CABELO,ACESSÓRIOS PARA CABELO,CUIDADOS COM O CABELO
ENFEITE NATAL ESTRELA VD/VM 125960,ENFEITES DE ÁRVORE DE NATAL,ENFEITES DE NATAL,DECORAÇÃO
FORMA ARCO IRIS BOLO N.22 .,FORMA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
"CHOC NESTLE KIT KAT 150,3G-CX CELEBREAK",CHOCOLATE TABLETE,BOMBONIERE,MERCEARIA DOCE
"PAO FOR INTEG PANCO 380G, QUINOA",FORMA INTEGRAL/GRÃOS,PÃES,PADARIA
COND OURIBEL LEITE DE CABRA 2L,TRADICIONAL,CONDICIONADOR,CUIDADOS COM O CABELO
SANDALIA HAVAIANAS TRADICIONAL AZUL 35/36,SANDÁLIA,CALÇADO ADULTO,CALÇADO
AGRIAO CULTURA ORGANICA UN,AGRIÃO ORGÂNICO,VERDURAS,HORTIFRUTI
GARRAFA DALLIAN P/CHA PLASTICA 690ML,JARRA/GARRAFA,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
BOLO MOLE SL CARIRI KG,OUTROS SABORES,BOLOS,MERCEARIA DOCE
CAFE SEGAFREDO ZANETTI ESP CASA PCT 250G,VÁCUO TRADICIONAL,CAFÉ,MERCEARIA DOCE
PASCOA OVO ARCOR PRINCESINHA SOFIA 100G,OVO DE PÁSCOA,OVO DE PÁSCOA,MERCEARIA DOCE
SAND HAVAIANAS SL OCEANO 33/4 MARINH,SANDÁLIA,CALÇADO ADULTO,CALÇADO
GOMA MASCAR FREEGELLS GUM 8G MENTA,CHICLETE HORTELÃ,BOMBONIERE,MERCEARIA DOCE
SAB LIQ NIVEA MILK VITAMINS 250ML,HIDRATANTE,SABONETE LÍQUIDO,HIGIENE PESSOAL
"BATATA JOHNNY 160G, CEBOLA E SALSA",BATATA TUBO,SALGADINHO E APERITIVO,MERCEARIA DOCE
BEB LACT PIRAKIDS SCHOOL 200ML BAUNILHA,BEBIDA LÁCTEA,IOGURTE,IOGURTES
DESOD HERBIS AERO 150ML BIS SNOW MOON,AEROSOL COM PERFUME,DESODORANTE UNISSEX,CUIDADOS COM O CORPO
CJ WOK TRAMONTINA VENTURA 2P 65360334,DIVERSOS,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
HAMBURGUER BOV AURORA 90G,BOVINO,HAMBÚRGUER,CONGELADOS SALGADOS
FRIGIDEIRA FRANCESA ROCHEDO VITALLE 26,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
GRISSINI ITAL HAPPY VI 125G-CX TRAD,GRISSINI,SALGADINHO E APERITIVO,MERCEARIA DOCE
POLPA DE FRUTA 400g TROPTIME CUPUACU,CUPUAÇU,POLPA DE FRUTA,CONGELADOS DOCES
SHAM INF FISHER PRICE EXT PASSIF/ROSA 200ML,USO DIÁRIO,SHAMPOO INFANTIL,HIGIENE PESSOAL INFANTIL
BOLO CASEIRO CHOC kg,CHOCOLATE,BOLOS,MERCEARIA DOCE
GELAT CAMP 30G MORANGO,REGULAR MORANGO,GELATINA,MERCEARIA DOCE
REFRIGER ELECTROLUX 261L FF BC 220 DF35A,FROST FREE,REFRIGERADORES,ELETRO
MASSA ROMANHA FETUTINE BJ 500G,FETTUCCINE,MASSA SECA,MERCEARIA SALGADA
COXAO DURO - BIFE ROULE kg/BAND,COXAO DURO,BOVINO RESFRIADO,AÇOUGUE
QUEIJO GORG.TIROLEZ KG,GORGONZOLA,QUEIJO,FRIOS
CABO IPHONE 5 E 6 PRO 12G0,ACESSÓRIOS CELULAR,ACESSÓRIOS ELETRO,ELETRO
TRINCHA N NOVATO 1-1/2P,TRINCHA,FERRAMENTA,MANUTENÇÃO
GEL BARB GILLETTE SERIES MINI SENSITIVE SKIN 71G,PELE SENSÍVEL,CREME/GEL/ESPUMA DE BARBEAR,CUIDADOS COM A BARBA
LIMPA VIDROS LIMPOL 500ML 4 EM 1 SQZ,TRADICIONAL,LIMPA VIDROS,CUIDADOS COM A CASA
AZEITONA VDE VALE FERTIL S/C 160G,VERDE SEM CAROÇO,AZEITONA,MERCEARIA SALGADA
FLOR COLORS CONJ.3PTES QUAD. RF 712/ 58C SANREMO,POTES,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
SAL ATACAMA BR SPICES 500G GROSSO,SAL GROSSO,SAL,MERCEARIA SALGADA
AZEITONA MARIA VERDE S/C 155G,VERDE SEM CAROÇO,AZEITONA,MERCEARIA SALGADA
CERVEJA TIANASTACIA 600ML GOLDEN ALE,ESCURAS,CERVEJA,BEBIDAS ALCOÓLICAS
TOALHA MESA JOVEM BELA CASA,TOALHA,MESA,"CAMA, MESA E BANHO"
VINHO FRANCES CHATEAU GADENNE SAINT EMILION 750ML,VINHO FRANCÊS,VINHO,BEBIDAS ALCOÓLICAS
PAO THABRULAI NUTRIMAIS QUINOA PCT 400G,OUTROS,PÃES,PADARIA
LEAVE IN HIDRATACAO PROLONGADA UP2YOU 250ML,HIDRATAÇÃO,CREME DE PENTEAR,CUIDADOS COM O CABELO
ACUCAR MASCAVO DA COLONIA CUBOS 150G,MASCAVO,AÇÚCAR,MERCEARIA DOCE
KETCHUP ACETO BALSAMICO NIGRIS VD 300G,TRADICIONAL,KETCHUP,MERCEARIA SALGADA
SUSPIRO DOC SAB 85 g,SUSPIRO,BOMBONIERE,MERCEARIA DOCE
CERVEJA DOM HAUS NAPOLEAO IPA GFA 330ML,IPA,CERVEJA,BEBIDAS ALCOÓLICAS
MIST PAO FRANCES BTA MIX FERM LONG 25KG,MISTURAS,FARINÁCEO,MERCEARIA DOCE
CERVEJA WEIHENSTEPHANER VITUS GFA 500ML,TRIGO,CERVEJA,BEBIDAS ALCOÓLICAS
COMEDOURO LEVE COOKER BAW WAW 700ML,COMEDOURO,ACESSÓRIOS PET,PET SHOP
OSSO NO PORTAL 4X5 UN,PETISCOS,ALIMENTO PARA CÃES,PET SHOP
ALHO FRITO ORUAM 90G,ALHO FRITO,CONDIMENTO NATURAL,MERCEARIA SALGADA
ESPUMANTE AURORA PROSECCO BRUT 750ML +2 TACAS,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
FRONHA MF AVULSA 50X70 PL,FRONHA ,CAMA,"CAMA, MESA E BANHO"
BISC TRAKINAS RECH MORANGO PCT 126G,RECHEADO,BISCOITO,MERCEARIA DOCE
CHOC BELGIAN FANCY TRUFFES 200G COCO PIECES,CHOCOLATE BARRA,BOMBONIERE,MERCEARIA DOCE
CARGA GILLETTE MACH3 SENSITIVE 3UN,CARGAS,APARELHO DE BARBA,CUIDADOS COM A BARBA
FRALDA PAMPERS T CONFORT M C/88 GIGA PACK,ALTA PERFORMANCE M,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
TACA CERVEJA BARCELONA RUVOLO 400ML,TAÇAS,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
CJ ASSADEIRA TRAMONTINA MLK 3P 27899081,ASSADEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
ESPUM SAINT GERMAIN 660ML DEMI BCO C2TC,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
CELULAR MOTO Z2 PLAY POWER DR XT1710,TELEFONIA MOVEL,TELEFONIA,ELETRO
PAO SOVADO LAGOA kg ASSADO,SOVADO,PÃES,PADARIA
PRES.ITAL.RAR IDENTICO DI PARMA FAT.80G,FATIADO,PRESUNTO,FRIOS
EDREDOM ACASA BICOLOR CASAL R UVA/LL,EDREDOM,CAMA,"CAMA, MESA E BANHO"
PRESERV PRUDENCE CORES/SABORES HORTELA C/3UN,AROMATIZADO,PRESERVATIVO,CUIDADOS COM O CORPO
BEBIDA LAC MINAS MILK 1L MORANGO,BEBIDA LÁCTEA,IOGURTE,IOGURTES
CAFE NESCAFE D GUSTO C/16 RISTRETTO 104G,CÁPSULA TRADICIONAL,CAFÉ,MERCEARIA DOCE
SALADA LEVISSIMA CHACARA STRAPASSON 200G,SALADA,SALADA,PRATOS PRONTOS
GEL TRA LA LA KIDS COLA 250G,FIXADOR,FIXADOR DE CABELO,CUIDADOS COM O CABELO
COND SKALA 325ML MAIONESE VEGANA,TRADICIONAL,CONDICIONADOR,CUIDADOS COM O CABELO
PO GELAT ZERO LOWCUCAR LIMAO SICILIANO 10G,ZERO LIMÃO,GELATINA,MERCEARIA DOCE
BISC WAFER BALOCCO LATTE 12X250G,WAFFER,BISCOITO,MERCEARIA DOCE
PASCOA OVO ARCOR TORTUG COPO 120G,OVO DE PÁSCOA,OVO DE PÁSCOA,MERCEARIA DOCE
ACETO ITAL PONTI 250ML-VD BALSM,VINAGRE BALSÂMICO,VINAGRE,MERCEARIA SALGADA
WHISKY J&B 8 ANOS 1L,IMPORTADO,WHISKY,BEBIDAS ALCOÓLICAS
BATATA MALAIA CHIPS TEX CHURRASCO 160G-TB,BATATA REGULAR,SALGADINHO E APERITIVO,MERCEARIA DOCE
VINAGRE MANGIARE 500ML VINHO BRANCO,VINAGRE ÁLCOOL,VINAGRE,MERCEARIA SALGADA
SAB LIQ DAVENE FRUTAS VRM RF 500ML,BÁSICO,SABONETE LÍQUIDO,HIGIENE PESSOAL
QUEIJO FAIXA AZUL PARM CILINDRO 195G,PARMESÃO,QUEIJO,FRIOS
ASP PO MIDEA VENTUS PR 1400W 127V VCA361,PÓ CONVENCIONAL,ASPIRADOR,ELETRO
QUEIJO TIPO PROV.CUR.POLENGHI SELEC.KG,PROVOLONE,QUEIJO,FRIOS
RACAO LE PETS 280G SALMAO P/GATOS,ÚMIDO,ALIMENTO PARA GATOS,PET SHOP
CURATIVO CREMER CARE MENINAS C/25,CURATIVO,CURATIVO,DESCARTÁVEIS
BARRA CEREAL TRIO L4P3 MORANGO 80G,REGULAR,BARRA DE CEREAL,MERCEARIA DOCE
SABONETEIRA ACASA E VIDRO TRANSP 0042A,SABONETEIRA,SABONETEIRA,UTILIDADES DE BANHEIRO
ARROZ ROSALITO 5KG TP1,TIPO 1,ARROZ,MERCEARIA SALGADA
CAPA MAQ LAVAR PLAST LEO MATELASSE DUPLA FACE G,CAPA PARA MÁQUINA DE LAVAR,ACESSÓRIOS DE LAVANDERIA,LAVANDERIA
MOLHO ARRUDA 150ML SHOYO .,TRADICIONAL,MOLHO SHOYU,MERCEARIA SALGADA
TERRA NOVA PALMITO 180g,TERRA,JARDINAGEM PLANTAR,JARDINAGEM
COLHER BRINOX MESA ITAPARICA 3PCS,COLHER,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
VASSOURA PRIMICIA PIACAVA 5,VASSOURA,LIMPEZA,LAVANDERIA
FARINHA GERGELIM MANDORELLA 200G,FARINHA NATURAL,FARINÁCEO,MERCEARIA DOCE
CHICLE PECCIN BLONG YOGURT 228G-DY,CHICLETE OUTROS SABORES,BOMBONIERE,MERCEARIA DOCE
CADERNO CD UNIV SMILINGUIDO 200FLS,CADERNO,MATERIAL ESCOLAR,PAPELARIA
PH FS SUBLIME CONTROL ODORES 60M 12UN,FOLHA SIMPLES,PAPEL HIGIÊNICO,HIGIENE PESSOAL
PRANCHA MODEL TAIFF RED ION BIV,PRANCHA/MODELADOR CABELO,CUIDADOS PESSOAIS,ELETRO
BISC TORTI AYMORE TORTINI BAUN PC 90G,TORTINHA,BISCOITO,MERCEARIA DOCE
ORELHA DE PORCO SALGADA RESFRIADA KG,ORELHA SALGADA,SUÍNO RESFRIADO,AÇOUGUE
"ALIM P CAES FOSTER 8KG, JUNIOR",SECO,ALIMENTO PARA CÃES,PET SHOP
AROMATIZANTE VONIXX GEL 60G UVA,ELIMINADOR DE ODOR,PURIFICADOR DE AR,CUIDADOS COM A CASA
QUEIJO FRESCAL LIGHT LAGUNA FAT KG,MINAS FRESCAL LIGHT,QUEIJO,FRIOS
MIX SEMENTES COSTUME SAUD 250G,MIX SEMENTES,SAUDÁVEL,MERCEARIA DOCE
GEL DENTAL SORRISO XTREM WHIT 4D 70G LV3 PG2,GEL DENTAL INFANTIL,CREME/GEL DENTAL INFANTIL,HIGIENE ORAL
ESPUMANTE ANNA SPINATO PROSECCO BRUT 750ML,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
MASSA PIZZA LA PASTITA 400G F35,PIZZA REGULAR,MASSA FRESCA,MASSAS FRESCAS
AGRIAO SEMPRE VERDE UND,AGRIÃO,VERDURAS,HORTIFRUTI
"BEB LACTEA CAROL VERY SC 850G, AMEIXA",BEBIDA LÁCTEA,IOGURTE,IOGURTES
VINHO ESPANHOL LUNAR OURO MOSCATEL GFA 750ML,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
CONFEITO DTC PATRULHA CANINA 55G,CONFEITO CHOCOLATE,CONFEITOS,MERCEARIA DOCE
SABAO PEDRA MON BIJOU PUREZA 5X200G,TIRA MANCHAS,SABÃO EM BARRA,CUIDADOS COM A ROUPA
FAROFA PRONTA VERANITA 400G TRADICIONAL,FAROFA PRONTA,FARINÁCEO,MERCEARIA DOCE
FAROFA MAND YOKI 500G,FAROFA DE MANDIOCA,FARINÁCEO,MERCEARIA DOCE
AGUARD PITU 965ML,TRADICIONAL,AGUARDENTE/CACHAÇA,BEBIDAS ALCOÓLICAS
MARIOLA DA COLONIA PRAIA GRANDE PCT 300G,MARIOLA,DOCE PASTA,MERCEARIA DOCE
ESM RISQUE VIDAS SONORAS 1UN-SM VDE MAO E VEND,ESMALTE,ESMALTE,CUIDADOS COM MÃOS E PÉS
ALICATE CUTICULA MUNDIAL FLEX 0159,ALICATE,ACESSÓRIOS MÃO E PÉ,CUIDADOS COM MÃOS E PÉS
BISC SANTA EDWIGES COOKIE DECOR LT 150G,COOKIE,BISCOITO,MERCEARIA DOCE
TACA BOHEMIA ELIZ VINHO TT 250ML 40760,TAÇAS,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
COMEDOURO BAW WAW PLASTICO UN DUPLO,COMEDOURO,ACESSÓRIOS PET,PET SHOP
CIRC AR BRITANIA 50 PR 3P OSCIL 220V C50,CIRCULADOR,VENTILAÇÃO,ELETRO
MOSTARDA 185g TASTE&CO DIJON,DIJON,MOSTARDA,MERCEARIA SALGADA
CR DENT CREME COLGATE SENSITIVE PRO ALIVIO 110G,CREME DENTAL TRATAMENTO,CREME/GEL DENTAL ADULTO,HIGIENE ORAL
CR ORIGEM GOURMET 1KG BANANA,RESTAURADOR,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
ESTOJO FUN,ESTOJO,MATERIAL ESCOLAR,PAPELARIA
NESCAFE DOLCE GUSTO NESCAU 256G,SOLÚVEL TRADICIONAL,CAFÉ,MERCEARIA DOCE
GUARDA SOL POLIESTER ARTIC 1.8 GBFU0032A,GUARDA-SOL,PRAIA/PISCINA,LAZER/CAMPING
FAR MILHO YOKI KIPOLENTA 500G,FARINHA DE MILHO,FARINÁCEO,MERCEARIA DOCE
CERVEJA LOMZA UNFILTERED GFA 500ML,ESPECIAIS,CERVEJA,BEBIDAS ALCOÓLICAS
MIST PUDIM DR OETKER CARAMELO 85G,MISTURAS,FARINÁCEO,MERCEARIA DOCE
AZEITONA VDE LA PREFERIDA 100G SACHET,VERDE COM CAROÇO,AZEITONA,MERCEARIA SALGADA
CR TRAT FRUCTIS OLEO REPARACAO 1KG,RESTAURADOR,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
"EDREDOM SANTISTA MICROFIBRA SO, PINK",EDREDOM,CAMA,"CAMA, MESA E BANHO"
PE SUINO PIETRO SALGADO KG,PÉ,SUÍNO RESFRIADO,AÇOUGUE
PAO DE FORMA INT PAULISTAO 350G,FORMA INTEGRAL/GRÃOS,PÃES,PADARIA
MANTEIGA S/LAC GHEE SNACKOUT 180ML CE/AL,ZERO LACTOSE,MANTEIGA,GORDUROSOS
SAB LIQ INF DOVE BABY HID SENSÍVEL 200ML,HIDRATANTE,SABONETE LÍQUIDO INFANTIL,HIGIENE PESSOAL INFANTIL
ERVILHA VERDE 500g BSB,ERVILHA,ERVILHA EM CONSERVA,MERCEARIA SALGADA
CANETA BIC CRISTAL C/4und PTA/VER/VE,CANETA ESFEROGRÁFICA,MATERIAL ESCOLAR,PAPELARIA
TOMATE SECO IMPERADOR 120G,TOMATE,FRUTA SECA,EMPÓRIO
SAL ROSA DO HIMALAIA 600g BSB,SAL DO HIMALAIA,SAL,MERCEARIA SALGADA
PROT SOL CORPO LOREAL KIT FPS50 200ML+ FACIAL FPS 60 50ML,PROTETOR SOLAR CORPORAL,PROTETOR SOLAR CORPORAL,CUIDADOS COM O CORPO
VINHO ESP FREIXENET PROSECCO GFA 750ML,VINHO ESPANHOL,VINHO,BEBIDAS ALCOÓLICAS
COIFA FRANKE 60 GLASS RAY P 220V,COIFA,EXAUSTORES,ELETRO
BALA DROPS PAST HALLS MINI 15G EXTRA FORTE,BALAS - DROPS E PASTILHA,BOMBONIERE,MERCEARIA DOCE
SAL C/LIMAO 140g FIBRAFORTE CALABRESA,SAL TEMPERADO,SAL,MERCEARIA SALGADA
VELA ANIV FEST LAR DECORATIVA BCA C 20,VELA,ARTIGOS PARA FESTAS,DESCARTÁVEIS
CANUDO PLASTICO BIODEG VALVES C40 VITAM,CANUDO,ARTIGOS PARA FESTAS,DESCARTÁVEIS
CREME DE LEITE CAMBI FRESCO S/LAC 450G,ZERO LACTOSE,CREME DE LEITE,MERCEARIA DOCE
PAO FORM TRAD NAGOYA PANCO 350G FATIADO,FORMA TRADICIONAL,PÃES,PADARIA
POLPA FRUTAS L S GOIABA 1KG,GOIABA,POLPA DE FRUTA,CONGELADOS DOCES
CHOC BAR GAROTO AO LEITE 125G,CHOCOLATE BARRA,BOMBONIERE,MERCEARIA DOCE
CHOC JUBILEU AMENDOA LEITE 180G,CHOCOLATE COM AMENDOIM,BOMBONIERE,MERCEARIA DOCE
SUSTAIN DANONE REG BAUNILHA 450G,FÓRMULAS INFANTIS / SUPLEMENTO ALIMENTAR,NUTRIÇÃO INFANTIL,MERCEARIA DOCE
TEMP ARRUDA 1kg FIMAPE COMPLETO,TEMPERO PRONTO,TEMPERO,MERCEARIA SALGADA
ESPUMANTE BOSSA BRUT N-1 750ML,ESPUMANTE,SIDRA/ESPUMANTE,BEBIDAS ALCOÓLICAS
ALIM GATO FRISKIES FILH FRANGO MOLHO 85G,ÚMIDO,ALIMENTO PARA GATOS,PET SHOP
ALIM P CAES SPETO 7KG,SECO,ALIMENTO PARA CÃES,PET SHOP
VINHO ITALIANO MONTECAMPO MOSCATO 750ML,VINHO ITALIANO,VINHO,BEBIDAS ALCOÓLICAS
COLHER BRINOX CHA ITAPARICA 3PCS BRANCO,COLHER,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
VODKA ABSOLUT MANGO GFA 750ML,IMPORTADA,VODKA,BEBIDAS ALCOÓLICAS
TOMATE SECO KUHNE VD 200G,TOMATE,FRUTA SECA,EMPÓRIO
SAND HAVAIANAS SLIM 1PR AREIA DOU 33/34,SANDÁLIA,CALÇADO ADULTO,CALÇADO
BISC BORGGREVE GOLDRINGE AMANT 400G,AMANTEIGADO,BISCOITO,MERCEARIA DOCE
VALVULA DE SEGURANCA PANELA DE PRESSAO 3L MEGA,ACESÓRIOS PANELA,MANUTENÇÃO COZINHA,UTILIDADES DE COZINHA
PAPINHA DOCE HEINZ MACA SC 113G,PAPINHAS DOCES,NUTRIÇÃO INFANTIL,MERCEARIA DOCE
CJ CANUDOS KREA PLASTICO C/4,CANUDO,ARTIGOS PARA FESTAS,DESCARTÁVEIS
JG CAMA URBANO LOC 200F KING 458-9,JOGO DE CAMA,CAMA,"CAMA, MESA E BANHO"
CHUPETA NEOPAN BICOLOR ORTO N2 AZUL,CHUPETA,PUERICULTURA,INFANTIL
GRAO BICO FLORMEL CRISPY 25G-SACHE CURC/CEB/SALSA,GRÃO DE BICO,GRÃOS/CEREAIS,MERCEARIA SALGADA
PAVE kg SONHO VALS,PAVÊ,SOBREMESA,CONGELADOS DOCES
